type,conv_type,groups,c_in,h_in,w_in,k1,k2,c_out,h_out,w_out,MACs,Flash,latency,MACs/latency
conv2d,PointWise,1,32,24,24,1,1,32,24,24,589856,1152,1.898,310777
conv2d,PointWise,1,64,12,12,1,1,16,12,12,147472,1088,0.446,330654
conv2d,PointWise,1,96,16,16,1,1,192,16,16,4718784,19200,10.922,432043
pad,,,120,36,36,,,120,42,42,0,0,0.415,
conv2d,PointWise,1,104,22,22,1,1,144,22,22,7248528,15552,18.04,401803
conv2d,PointWise,1,128,5,5,1,1,768,5,5,2458368,101376,5.978,411235
conv2d,PointWise,1,768,5,5,1,1,160,5,5,3072160,123520,7.188,427401
conv2d,PointWise,1,64,9,9,1,1,192,9,9,995520,13056,2.371,419873
pad,,,24,40,40,,,24,42,42,0,0,0.076,
conv2d,PointWise,1,192,9,9,1,1,80,9,9,1244240,15680,3.583,347262
conv2d,PointWise,1,208,22,22,1,1,96,22,22,9664608,20352,21.405,451511
pad,,,8,64,64,,,8,66,66,0,0,0.07,
conv2d,PointWise,1,64,56,56,1,1,64,56,56,12845120,4352,29.942,429000
conv2d,PointWise,1,64,8,8,1,1,80,8,8,327760,5440,0.79,414886
conv2d,PointWise,1,80,12,12,1,1,80,12,12,921680,6720,2.611,352998
conv2d,PointWise,1,80,12,12,1,1,80,12,12,921680,6720,2.607,353540
pad,,,48,52,52,,,48,58,58,0,0,0.27,
conv2d,PointWise,1,320,3,3,1,1,960,3,3,2765760,311040,8.021,344814
conv2d,PointWise,1,960,3,3,1,1,320,3,3,2765120,308480,7.77,355871
pad,,,24,60,60,,,24,66,66,0,0,0.203,
conv2d,PointWise,1,24,56,56,1,1,72,56,56,5419080,2016,18.997,285259
conv2d,PointWise,1,72,56,56,1,1,64,56,56,14450752,4864,34.803,415215
pad,,,336,14,14,,,336,16,16,0,0,0.136,
conv2d,PointWise,1,88,6,6,1,1,88,6,6,278872,8096,0.7,398388
conv2d,PointWise,1,48,32,32,1,1,144,32,32,7078032,7488,18.871,375074
pad,,,256,10,10,,,256,14,14,0,0,0.066,
conv2d,PointWise,1,144,16,16,1,1,96,16,16,3539040,14208,7.888,448661
conv2d,PointWise,1,128,16,16,1,1,192,16,16,6291648,25344,14.157,444419
pad,,,64,56,56,,,64,58,58,0,0,0.459,
conv2d,PointWise,1,160,6,6,1,1,160,6,6,921760,26240,2.028,454516
conv2d,PointWise,1,160,6,6,1,1,160,6,6,921760,26240,2.016,457222
conv2d,PointWise,1,160,6,6,1,1,160,6,6,921760,26240,2.019,456542
pad,,,8,64,64,,,8,68,68,0,0,0.069,
conv2d,PointWise,1,160,6,6,1,1,160,6,6,921760,26240,2.013,457903
pad,,,40,88,88,,,40,94,94,0,0,0.756,
conv2d,PointWise,1,160,6,6,1,1,160,6,6,921760,26240,3.081,299175
conv2d,PointWise,1,160,40,40,1,1,40,40,40,10240040,6560,21.453,477324
pad,,,64,3,3,,,64,5,5,0,0,0.003,
conv2d,PointWise,1,32,32,32,1,1,80,32,32,2621520,2880,8.048,325735
conv2d,PointWise,1,48,28,28,1,1,144,28,28,5419152,7488,14.696,368750
conv2d,PointWise,1,104,18,18,1,1,104,18,18,3504488,11232,8.985,390037
eltwise,,,,,,,,64,3,3,576,0,0.053,10867
conv2d,PointWise,1,104,16,16,1,1,104,16,16,2769000,11232,6.583,420628
pad,,,48,80,80,,,48,82,82,0,0,0.583,
conv2d,PointWise,1,104,16,16,1,1,104,16,16,2769000,11232,6.586,420437
conv2d,PointWise,1,104,16,16,1,1,104,16,16,2769000,11232,6.579,420884
pad,,,416,3,3,,,416,5,5,0,0,0.011,
conv2d,PointWise,1,104,16,16,1,1,104,16,16,2769000,11232,6.582,420692
conv2d,PointWise,1,104,16,16,1,1,104,16,16,2769000,11232,7.241,382405
conv2d,PointWise,1,112,7,7,1,1,672,7,7,3688608,77952,12.845,287162
eltwise,,,,,,,,416,3,3,3744,0,0.329,11379
conv2d,PointWise,1,672,4,4,1,1,144,4,4,1548432,97344,3.657,423415
pad,,,64,11,11,,,64,13,13,0,0,0.015,
conv2d,PointWise,1,768,4,4,1,1,768,4,4,9437952,592896,35.323,267189
conv2d,PointWise,1,64,8,8,1,1,64,8,8,262208,4352,0.633,414230
conv2d,PointWise,1,40,40,40,1,1,40,40,40,2560040,1760,7.648,334733
conv2d,PointWise,1,32,28,28,1,1,112,28,28,2809968,4032,8.613,326247
conv2d,PointWise,1,112,3,3,1,1,672,3,3,678048,77952,2.368,286337
